5_21 (685.15,3513.71) 3021.4999999983474
3_11 (692.10,2765.92) 3023.3999999983457
5_22 (2215.22,2884.26) 3037.299999998333
4_16 (5420.26,6826.81) 3052.2999999983194
4_15 (3371.72,3925.99) 3055.6999999983163
1_0 (6859.88,2452.89) 3057.7999999983144
2_6 (5266.56,6381.02) 3060.0
5_21 (253.36,3820.37) 3098.5999999982773
5_22 (1690.41,3102.28) 3100.099999998276
2_5 (4464.10,2195.85) 3106.1999999982704
4_16 (5276.88,6407.32) 3112.299999998265
3_10 (3238.10,1528.66) 3113.199999998264
1_1 (1813.84,6562.13) 3117.0
1_0 (6411.20,2547.90) 3117.79999999826
5_21 (26.01,3958.65) 3157.299999998224
1_1 (1798.28,5936.50) 3177.199999998206
2_6 (5415.08,6804.75) 3179.9999999982033
5_22 (1171.27,3280.42) 3222.0
2_5 (4496.12,2675.57) 3226.1999999981613
4_16 (5172.72,6068.84) 3232.2999999981557
3_10 (3636.20,2097.02) 3233.199999998155
1_0 (6136.39,2608.56) 3237.7999999981507
2_6 (5539.88,7248.00) 3239.9999999981487
4_16 (5047.65,5634.92) 3292.299999998101
3_10 (3641.30,2359.58) 3293.1999999981003
1_1 (1506.44,5440.66) 3295.3999999980983
1_0 (5776.46,2604.32) 3297.799999998096
2_6 (5640.64,7751.05) 3300.0
2_5 (4540.94,2978.42) 3346.199999998052
1_1 (1718.63,5120.42) 3355.099999998044
1_0 (5298.58,2698.05) 3357.7999999980416
4_16 (4989.74,5088.18) 3412.299999997992
5_21 (234.82,3832.67) 3413.499999997991
5_23 (3117.32,2360.43) 3416.3999999979883
1_0 (4970.82,2860.51) 3417.799999997987
4_16 (5038.05,4689.47) 3472.2999999979374
5_21 (549.80,3609.57) 3473.4999999979364
1_1 (2266.48,4665.30) 3476.299999997934
2_6 (5553.13,7268.36) 3477.299999997933
2_6 (5416.98,6831.90) 3536.9999999978786
1_0 (4903.79,3210.44) 3537.799999997878
5_23 (2682.42,2717.99) 3539.2999999978765
2_5 (4616.96,3279.57) 3586.199999997834
4_16 (4997.17,4236.05) 3592.2999999978283
5_21 (1129.56,3294.42) 3593.499999997827
1_1 (2812.77,4128.31) 3594.999999997826
