"(2525.3, 4209.33)","(48.002861023, 7.821514129600001)"
"(2539.06, 1173.64)","(47.975559235, 7.8216805458000005)"
"(2541.73, 4470.61)","(48.00521087600001, 7.8217358588999994)"
"(2563.61, 4242.41)","(48.00315856899999, 7.822027683300001)"
"(2566.08, 4443.46)","(48.00496673600001, 7.822062015499999)"
"(2586.74, 1155.4)","(47.975395203000005, 7.8223190308)"
"(2597.47, 4273.8)","(48.003440857, 7.822481632200001)"
"(2605.15, 4278.46)","(48.003482819, 7.8225846291)"
"(2605.78, 4394.68)","(48.004528046000004, 7.822593689)"
"(2613.53, 2756.16)","(47.98979187, 7.8226876259)"
"(2614.4, 4281.01)","(48.003505706999995, 7.8227086067)"
"(2622.48, 4282.28)","(48.003517151000004, 7.8228168488)"
"(2627.89, 4365.42)","(48.004264832, 7.8228898048)"
"(2631.73, 4281.86)","(48.003513336000005, 7.8229408264)"
"(2634.55, 4353.12)","(48.004154205, 7.822978973400001)"
"(2635.27, 1136.31)","(47.975223541000005, 7.8229689598)"
"(2641.55, 4279.74)","(48.003494263, 7.8230724335)"
"(2643.06, 4334.03)","(48.003982543999996, 7.8230929375)"
"(2650.56, 4275.5)","(48.003456116, 7.823193073300001)"
"(2657.17, 4297.13)","(48.003650665, 7.823281765)"
"(2659.24, 4269.56)","(48.00340271, 7.823309421499999)"
"(2662.05, 2729.44)","(47.989551543999994, 7.8233375549)"
"(2664.25, 4280.58)","(48.003501891999996, 7.8233766556)"
"(2669.74, 1121.04)","(47.975086212, 7.8234305382)"
"(2671.55, 4265.74)","(48.003368378000005, 7.8234744072)"
"(2673.94, 4253.44)","(48.00325775100001, 7.823506355299999)"
"(2679.67, 4253.86)","(48.003261566000006, 7.8235831261)"
"(2682.42, 2717.99)","(47.989448546999995, 7.823610305800001)"
"(2693.06, 4228.84)","(48.003036499, 7.823762416799999)"
"(2693.59, 4234.78)","(48.003089905, 7.8237695694000005)"
"(2711.08, 4208.9)","(48.002857208, 7.8240036964)"
"(2715.14, 1102.38)","(47.974918365, 7.824038505599999)"
"(2719.12, 4207.21)","(48.00284194899999, 7.824111461599999)"
"(2724.43, 4196.6)","(48.002746582, 7.8241825104)"
"(2765.82, 4164.79)","(48.00246048, 7.8247370720000005)"
"(2791.92, 4143.16)","(48.00226593, 7.8250865936)"
"(2812.77, 4128.31)","(48.002132416, 7.8253660202)"
"(2817.41, 1063.78)","(47.974571228, 7.825407981900001)"
"(2845.73, 4107.53)","(48.001945496000005, 7.8258075713999995)"
"(2866.88, 4095.23)","(48.001834869, 7.8260908126999995)"
"(2872.5, 4091.83)","(48.001804352, 7.826166153)"
"(2916.07, 4070.63)","(48.001613617, 7.826749801599999)"
"(2927.33, 1022.64)","(47.974201201999996, 7.826879978200001)"
"(2936.59, 1019.67)","(47.9741745, 7.8270039558)"
"(2949.08, 1016.7)","(47.974147797, 7.8271713257)"
"(2961.23, 1015.0)","(47.974132538, 7.827333927200001)"
"(2977.85, 1013.31)","(47.974117279, 7.8275566101)"
"(2980.41, 2547.05)","(47.987911223999994, 7.8276014328)"
"(3008.61, 1011.19)","(47.974098206, 7.8279685974)"
"(3009.74, 2528.39)","(47.987743378000005, 7.8279943466)"
"(3019.54, 2520.33)","(47.987670898000005, 7.8281254767999995)"
"(3027.02, 1010.34)","(47.974090576, 7.8282151222000005)"
"(3028.65, 2512.27)","(47.987598418999994, 7.8282475471)"
"(3032.93, 1012.03)","(47.974105835, 7.8282942772)"
"(3038.41, 1015.0)","(47.974132538, 7.8283677101)"
"(3043.11, 1018.82)","(47.97416687, 7.8284306526)"
"(3043.93, 2495.73)","(47.987449646, 7.8284521103)"
"(3046.1, 1022.21)","(47.974197388, 7.8284707069)"
"(3049.62, 1028.58)","(47.974254608, 7.8285179138)"
"(3052.46, 1035.36)","(47.974315643000004, 7.8285560608)"
"(3053.83, 2481.73)","(47.987323761000006, 7.828584671000001)"
"(3054.38, 1049.36)","(47.974441528, 7.82858181)"
"(3061.1, 2472.4)","(47.987239838, 7.8286819458000005)"
"(3061.48, 1146.92)","(47.975318908999995, 7.8286776543)"
"(3062.02, 4012.94)","(48.001094818, 7.8287053108)"
"(3063.09, 1260.17)","(47.976337433000005, 7.8287000656)"
"(3064.76, 4759.04)","(48.007804871000005, 7.8287472725)"
"(3065.15, 1283.92)","(47.976551056000005, 7.8287277222)"
"(3065.54, 4751.82)","(48.007740021000004, 7.8287577629)"
"(3066.1, 4767.52)","(48.007881165, 7.8287653923)"
"(3067.31, 4770.49)","(48.007907867, 7.8287816048000005)"
"(3068.43, 4744.61)","(48.007675171, 7.8287963867)"
"(3070.0, 2459.68)","(47.987125397, 7.8288011551)"
